# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+6.6900E+02 -5.4939E-04 +8.9230E-07 +7.0745E-60 +1.7560E-16 +8.9230E-07
+6.7100E+02 -5.2136E-04 +8.0085E-07 +2.7354E-60 +1.3293E-16 +8.0085E-07
+6.7300E+02 -4.8782E-04 +7.1836E-07 +1.0541E-60 +1.0052E-16 +7.1836E-07
+6.7600E+02 -4.4341E-04 +6.0961E-07 +2.5057E-61 +6.5946E-17 +6.0961E-07
+6.7900E+02 -3.9751E-04 +5.1666E-07 +5.9117E-62 +4.3153E-17 +5.1666E-07
+6.8100E+02 -3.5788E-04 +4.6238E-07 +2.2477E-62 +3.2479E-17 +4.6238E-07
+6.8400E+02 -3.1197E-04 +3.9103E-07 +5.2367E-63 +2.1161E-17 +3.9103E-07
+6.8500E+02 -2.7879E-04 +3.6968E-07 +3.2168E-63 +1.8334E-17 +3.6968E-07
+6.8900E+02 -2.2895E-04 +2.9489E-07 +4.5424E-64 +1.0302E-17 +2.9489E-07
+6.9100E+02 -1.9317E-04 +2.6314E-07 +1.6983E-64 +7.7090E-18 +2.6314E-07
+6.9300E+02 -1.5969E-04 +2.3468E-07 +6.3285E-65 +5.7620E-18 +2.3468E-07
+6.9600E+02 -1.2367E-04 +1.9745E-07 +1.4305E-65 +3.7153E-18 +1.9745E-07
+6.9900E+02 -9.0819E-05 +1.6590E-07 +3.2092E-66 +2.3893E-18 +1.6590E-07
+7.0200E+02 -6.1216E-05 +1.3922E-07 +7.1452E-67 +1.5326E-18 +1.3922E-07
+7.0300E+02 -4.2467E-05 +1.3128E-07 +4.3234E-67 +1.3210E-18 +1.3128E-07
+7.0500E+02 -2.1982E-05 +1.1667E-07 +1.5789E-67 +9.8053E-19 +1.1667E-07
+7.0800E+02 +5.4210E-19 +9.7654E-08 +3.4628E-68 +6.2568E-19 +9.7654E-08
+7.1200E+02 +2.2279E-05 +7.6872E-08 +4.5262E-69 +3.4234E-19 +7.6872E-08
+7.1400E+02 +3.6579E-05 +6.8145E-08 +1.6282E-69 +2.5279E-19 +6.8145E-08
+7.1600E+02 +4.9195E-05 +6.0374E-08 +5.8374E-70 +1.8645E-19 +6.0374E-08
+7.1800E+02 +6.0339E-05 +5.3458E-08 +2.0858E-70 +1.3735E-19 +5.3458E-08
+7.2100E+02 +7.2944E-05 +4.4493E-08 +4.4271E-71 +8.6664E-20 +4.4493E-08
+7.2300E+02 +8.5035E-05 +3.9340E-08 +1.5686E-71 +6.3662E-20 +3.9340E-08
+7.2700E+02 +1.0215E-04 +3.0702E-08 +1.9497E-72 +3.4233E-20 +3.0702E-08
+7.2800E+02 +1.1997E-04 +2.8846E-08 +1.1552E-72 +2.9294E-20 +2.8846E-08
+7.3200E+02 +1.4358E-04 +2.2448E-08 +1.4119E-73 +1.5661E-20 +2.2448E-08
+7.3400E+02 +1.6896E-04 +1.9785E-08 +4.9113E-74 +1.1431E-20 +1.9785E-08
+7.3600E+02 +1.9686E-04 +1.7428E-08 +1.7027E-74 +8.3343E-21 +1.7428E-08
+7.4000E+02 +2.2615E-04 +1.3500E-08 +2.0259E-75 +4.4147E-21 +1.3500E-08
+7.4100E+02 +2.5774E-04 +1.2661E-08 +1.1873E-75 +3.7636E-21 +1.2661E-08
+7.4400E+02 +2.8869E-04 +1.0433E-08 +2.3783E-76 +2.3277E-21 +1.0433E-08
+7.4600E+02 +3.1979E-04 +9.1640E-09 +8.1078E-77 +1.6873E-21 +9.1640E-09
+7.5000E+02 +3.4735E-04 +7.0578E-09 +9.3284E-78 +8.8349E-22 +7.0578E-09
+7.5400E+02 +3.7219E-04 +5.4232E-09 +1.0590E-78 +4.6047E-22 +5.4232E-09
+7.5300E+02 +4.0234E-04 +5.7936E-09 +1.8267E-78 +5.4217E-22 +5.7936E-09
+7.5700E+02 +4.2060E-04 +4.4441E-09 +2.0528E-79 +2.8160E-22 +4.4441E-09
+7.5800E+02 +4.4032E-04 +4.1575E-09 +1.1861E-79 +2.3889E-22 +4.1575E-09
+7.6100E+02 +4.5206E-04 +3.4011E-09 +2.2762E-80 +1.4559E-22 +3.4011E-09
+7.6500E+02 +4.5702E-04 +2.5969E-09 +2.4903E-81 +7.4919E-23 +2.5969E-09
+7.6700E+02 +4.6251E-04 +2.2672E-09 +8.1954E-82 +5.3651E-23 +2.2672E-09
+7.6700E+02 +4.6917E-04 +2.2672E-09 +8.1954E-82 +5.3651E-23 +2.2672E-09
+7.7300E+02 +4.5551E-04 +1.5035E-09 +2.8629E-83 +1.9566E-23 +1.5035E-09
+7.7300E+02 +4.5554E-04 +1.5035E-09 +2.8629E-83 +1.9566E-23 +1.5035E-09
+7.7600E+02 +4.4361E-04 +1.2220E-09 +5.2905E-84 +1.1770E-23 +1.2220E-09
+7.8100E+02 +4.2193E-04 +8.6255E-10 +3.1191E-85 +5.0164E-24 +8.6255E-10
+7.8000E+02 +4.1758E-04 +9.2506E-10 +5.5037E-85 +5.9528E-24 +9.2506E-10
+7.8300E+02 +3.9778E-04 +7.4960E-10 +9.9930E-86 +3.5592E-24 +7.4960E-10
+7.8600E+02 +3.7622E-04 +6.0663E-10 +1.8008E-86 +2.1226E-24 +6.0663E-10
+7.8700E+02 +3.6069E-04 +5.6515E-10 +1.0154E-86 +1.7856E-24 +5.6515E-10
+7.9200E+02 +3.2959E-04 +3.9576E-10 +5.7165E-88 +7.4899E-25 +3.9576E-10
+7.9400E+02 +3.0952E-04 +3.4284E-10 +1.7979E-88 +5.2805E-25 +3.4284E-10
+7.9600E+02 +2.9010E-04 +2.9683E-10 +5.6358E-89 +3.7186E-25 +2.9683E-10
+7.9900E+02 +2.6818E-04 +2.3887E-10 +9.8287E-90 +2.1927E-25 +2.3887E-10
+8.0100E+02 +2.5257E-04 +2.0652E-10 +3.0552E-90 +1.5397E-25 +2.0652E-10
+8.0200E+02 +2.4366E-04 +1.9198E-10 +1.7012E-90 +1.2896E-25 +1.9198E-10
+8.0400E+02 +2.3327E-04 +1.6584E-10 +5.2615E-91 +9.0395E-26 +1.6584E-10
+8.0900E+02 +2.1230E-04 +1.1472E-10 +2.7581E-92 +3.6997E-26 +1.1472E-10
+8.0900E+02 +2.1356E-04 +1.1472E-10 +2.7581E-92 +3.6997E-26 +1.1472E-10
+8.1000E+02 +2.1161E-04 +1.0652E-10 +1.5255E-92 +3.0917E-26 +1.0652E-10
+8.1500E+02 +1.9342E-04 +7.3369E-11 +7.7979E-94 +1.2545E-26 +7.3369E-11
+8.1500E+02 +1.9698E-04 +7.3369E-11 +7.7979E-94 +1.2545E-26 +7.3369E-11
+8.1600E+02 +1.9649E-04 +6.8068E-11 +4.2914E-94 +1.0465E-26 +6.8068E-11
+8.2100E+02 +1.7880E-04 +4.6682E-11 +2.1390E-95 +4.2094E-27 +4.6682E-11
+8.2300E+02 +1.7367E-04 +4.0104E-11 +6.4079E-96 +2.9183E-27 +4.0104E-11
+8.2600E+02 +1.6388E-04 +3.1900E-11 +1.0441E-96 +1.6810E-27 +3.1900E-11
+8.2700E+02 +1.6205E-04 +2.9548E-11 +5.6930E-97 +1.3978E-27 +2.9548E-11
+8.3300E+02 +1.3843E-04 +1.8606E-11 +1.4701E-98 +4.5938E-28 +1.8606E-11
+8.3400E+02 +1.3517E-04 +1.7217E-11 +7.9688E-99 +3.8123E-28 +1.7217E-11
+8.3600E+02 +1.2699E-04 +1.4736E-11 +2.3357E-99 +2.6232E-28 +1.4736E-11
+8.3400E+02 +1.3460E-04 +1.7217E-11 +7.9688E-99 +3.8123E-28 +1.7217E-11
+8.3800E+02 +1.1666E-04 +1.2605E-11 +6.8230E-100 +1.8030E-28 +1.2605E-11
+8.4400E+02 +9.0473E-05 +7.8624E-12 +1.6669E-101 +5.8132E-29 +7.8624E-12
+8.4600E+02 +7.9975E-05 +6.7101E-12 +4.8044E-102 +3.9770E-29 +6.7101E-12
+8.4900E+02 +6.5470E-05 +5.2846E-12 +7.3876E-103 +2.2455E-29 +5.2846E-12
+8.4800E+02 +6.6015E-05 +5.7233E-12 +1.3801E-102 +2.7176E-29 +5.7233E-12
+8.5300E+02 +4.4128E-05 +3.8357E-12 +6.0147E-104 +1.0437E-29 +3.8357E-12
+8.5400E+02 +3.7322E-05 +3.5392E-12 +3.2061E-104 +8.6115E-30 +3.5392E-12
+8.5800E+02 +2.0466E-05 +2.5615E-12 +2.5668E-105 +3.9795E-30 +2.5615E-12
+8.5900E+02 +1.4701E-05 +2.3618E-12 +1.3625E-105 +3.2787E-30 +2.3618E-12
+8.6300E+02 +2.3717E-20 +1.7044E-12 +1.0727E-106 +1.5064E-30 +1.7044E-12
+8.6600E+02 -9.9251E-06 +1.3325E-12 +1.5803E-107 +8.3811E-31 +1.3325E-12
+8.6900E+02 -1.7913E-05 +1.0404E-12 +2.3106E-108 +4.6508E-31 +1.0404E-12
+8.7200E+02 -2.3602E-05 +8.1130E-13 +3.3529E-109 +2.5741E-31 +8.1130E-13
+8.7500E+02 -2.7013E-05 +6.3182E-13 +4.8289E-110 +1.4210E-31 +6.3182E-13
+8.7700E+02 -2.5948E-05 +5.3443E-13 +1.3212E-110 +9.5487E-32 +5.3443E-13
+8.7800E+02 -2.1126E-05 +4.9141E-13 +6.9023E-111 +7.8241E-32 +4.9141E-13
+8.8200E+02 -2.1561E-05 +3.5078E-13 +5.0982E-112 +3.5166E-32 +3.5078E-13
+8.8400E+02 -1.6841E-05 +2.9611E-13 +1.3786E-112 +2.3535E-32 +2.9611E-13
+8.8600E+02 -1.1685E-05 +2.4982E-13 +3.7154E-113 +1.5733E-32 +2.4982E-13
+8.8900E+02 -7.8071E-06 +1.9338E-13 +5.1656E-114 +8.5802E-33 +1.9338E-13
+8.9100E+02 -2.3691E-06 +1.6291E-13 +1.3805E-114 +5.7191E-33 +1.6291E-13
+8.9400E+02 +1.7752E-06 +1.2584E-13 +1.8953E-115 +3.1056E-33 +1.2584E-13
+8.9500E+02 +7.4308E-06 +1.1542E-13 +9.7613E-116 +2.5322E-33 +1.1542E-13
+8.9800E+02 +1.0740E-05 +8.9002E-14 +1.3267E-116 +1.3702E-33 +8.9002E-14
+9.0100E+02 +1.3674E-05 +6.8539E-14 +1.7896E-117 +7.3954E-34 +6.8539E-14
+9.0300E+02 +1.6198E-05 +5.7542E-14 +4.6875E-118 +4.8953E-34 +5.7542E-14
+9.0600E+02 +1.7828E-05 +4.4216E-14 +6.2440E-119 +2.6307E-34 +4.4216E-14
+9.1100E+02 +2.0150E-05 +2.8423E-14 +2.1332E-120 +9.2904E-35 +2.8423E-14
+9.0900E+02 +1.7430E-05 +3.3933E-14 +8.2547E-120 +1.4100E-34 +3.3933E-14
+9.1300E+02 +1.7430E-05 +2.3794E-14 +5.4944E-121 +6.1142E-35 +2.3794E-14
+9.1500E+02 +1.5262E-05 +1.9907E-14 +1.4104E-121 +4.0193E-35 +1.9907E-14
+9.1900E+02 +1.5362E-05 +1.3911E-14 +9.2005E-123 +1.7308E-35 +1.3911E-14
+9.2100E+02 +1.2253E-05 +1.1618E-14 +2.3381E-123 +1.1338E-35 +1.1618E-14
+9.2500E+02 +1.3256E-05 +8.0908E-15 +1.4948E-124 +4.8488E-36 +8.0908E-15
+9.2600E+02 +7.4827E-06 +7.3884E-15 +7.5006E-125 +3.9182E-36 +7.3884E-15
+9.2800E+02 +4.1215E-06 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -4.6829E-06 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -1.3412E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -2.1771E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2900E+02 -2.6528E-05 +5.6213E-15 +9.4290E-126 +2.0640E-36 +5.6213E-15
+9.2800E+02 -3.5865E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -4.0851E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -4.4015E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -4.5270E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2700E+02 -4.7628E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2700E+02 -4.6107E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2700E+02 -4.3653E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2600E+02 -4.3114E-05 +7.3884E-15 +7.5006E-125 +3.9182E-36 +7.3884E-15
+9.2700E+02 -3.6975E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2800E+02 -3.0460E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2700E+02 -2.9330E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2600E+02 -2.8233E-05 +7.3884E-15 +7.5006E-125 +3.9182E-36 +7.3884E-15
+9.2400E+02 -2.9648E-05 +8.8588E-15 +2.9764E-124 +5.9986E-36 +8.8588E-15
+9.2600E+02 -2.1967E-05 +7.3884E-15 +7.5006E-125 +3.9182E-36 +7.3884E-15
+9.2900E+02 -1.1547E-05 +5.6213E-15 +9.4290E-126 +2.0640E-36 +5.6213E-15
+9.2700E+02 -1.5536E-05 +6.7459E-15 +3.7605E-125 +3.1654E-36 +6.7459E-15
+9.2600E+02 -1.7361E-05 +7.3884E-15 +7.5006E-125 +3.9182E-36 +7.3884E-15
+9.3200E+02 -0.0000E+00 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3200E+02 -9.1927E-07 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3300E+02 +7.4764E-07 +3.8966E-15 +5.8684E-127 +8.7454E-37 +3.8966E-15
+9.3300E+02 -1.6620E-06 +3.8966E-15 +5.8684E-127 +8.7454E-37 +3.8966E-15
+9.2900E+02 -1.7342E-05 +5.6213E-15 +9.4290E-126 +2.0640E-36 +5.6213E-15
+9.3200E+02 -1.1442E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3100E+02 -1.8337E-05 +4.6815E-15 +2.3563E-126 +1.3443E-36 +4.6815E-15
+9.3000E+02 -2.5131E-05 +5.1303E-15 +4.7155E-126 +1.6660E-36 +5.1303E-15
+9.3200E+02 -2.2283E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3200E+02 -2.5344E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3100E+02 -3.0966E-05 +4.6815E-15 +2.3563E-126 +1.3443E-36 +4.6815E-15
+9.3100E+02 -3.2497E-05 +4.6815E-15 +2.3563E-126 +1.3443E-36 +4.6815E-15
+9.3000E+02 -3.5901E-05 +5.1303E-15 +4.7155E-126 +1.6660E-36 +5.1303E-15
+9.2800E+02 -4.0332E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.2800E+02 -3.7158E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.3400E+02 -1.3203E-05 +3.5541E-15 +2.9250E-127 +7.0507E-37 +3.5541E-15
+9.3100E+02 -1.6775E-05 +4.6815E-15 +2.3563E-126 +1.3443E-36 +4.6815E-15
+9.2500E+02 -2.5522E-05 +8.0908E-15 +1.4948E-124 +4.8488E-36 +8.0908E-15
+9.2900E+02 -6.0329E-06 +5.6213E-15 +9.4290E-126 +2.0640E-36 +5.6213E-15
+9.3200E+02 +1.2836E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.2900E+02 +1.3451E-05 +5.6213E-15 +9.4290E-126 +2.0640E-36 +5.6213E-15
+9.3300E+02 +3.6226E-05 +3.8966E-15 +5.8684E-127 +8.7454E-37 +3.8966E-15
+9.3300E+02 +4.6182E-05 +3.8966E-15 +5.8684E-127 +8.7454E-37 +3.8966E-15
+9.3300E+02 +5.5720E-05 +3.8966E-15 +5.8684E-127 +8.7454E-37 +3.8966E-15
+9.3900E+02 +8.7708E-05 +2.2391E-15 +8.8852E-129 +2.3912E-37 +2.2391E-15
+9.4000E+02 +9.9915E-05 +2.0406E-15 +4.4064E-129 +1.9245E-37 +2.0406E-15
+9.3900E+02 +1.0216E-04 +2.2391E-15 +8.8852E-129 +2.3912E-37 +2.2391E-15
+9.3200E+02 +8.2013E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.3200E+02 +8.4968E-05 +4.2713E-15 +1.1764E-126 +1.0844E-36 +4.2713E-15
+9.2800E+02 +7.1030E-05 +6.1584E-15 +1.8838E-125 +2.5564E-36 +6.1584E-15
+9.3600E+02 +9.4027E-05 +2.9557E-15 +7.2482E-128 +4.5789E-37 +2.9557E-15
+9.3800E+02 +9.6847E-05 +2.4566E-15 +1.7901E-128 +2.9702E-37 +2.4566E-15
+9.3600E+02 +8.1980E-05 +2.9557E-15 +7.2482E-128 +4.5789E-37 +2.9557E-15
+9.3500E+02 +6.9625E-05 +3.2414E-15 +1.4567E-127 +5.6827E-37 +3.2414E-15
+9.3700E+02 +6.7075E-05 +2.6948E-15 +3.6036E-128 +3.6884E-37 +2.6948E-15
+9.3600E+02 +5.1187E-05 +2.9557E-15 +7.2482E-128 +4.5789E-37 +2.9557E-15
+9.3700E+02 +4.1457E-05 +2.6948E-15 +3.6036E-128 +3.6884E-37 +2.6948E-15
+9.3600E+02 +2.2177E-05 +2.9557E-15 +7.2482E-128 +4.5789E-37 +2.9557E-15
+9.3400E+02 -2.3082E-06 +3.5541E-15 +2.9250E-127 +7.0507E-37 +3.5541E-15
+9.3800E+02 -5.6232E-06 +2.4566E-15 +1.7901E-128 +2.9702E-37 +2.4566E-15
+9.4000E+02 -1.7500E-05 +2.0406E-15 +4.4064E-129 +1.9245E-37 +2.0406E-15
+9.4100E+02 -3.5139E-05 +1.8594E-15 +2.1834E-129 +1.5484E-37 +1.8594E-15
+9.3700E+02 -7.6108E-05 +2.6948E-15 +3.6036E-128 +3.6884E-37 +2.6948E-15
+9.3900E+02 -8.0170E-05 +2.2391E-15 +8.8852E-129 +2.3912E-37 +2.2391E-15
