# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.3790E+01 +9.1660E+00 +9.9595E-01 +6.7156E-01 +2.6980E-01 +3.1447E-02 +1.6006E-02 +2.4265E-03 +1.2945E-03 +2.1715E-03 +1.2458E-03
+4.3820E+01 +1.5485E+01 +1.0123E+00 +6.8317E-01 +2.7429E-01 +3.1601E-02 +1.6083E-02 +2.4322E-03 +1.2975E-03 +2.1755E-03 +1.2481E-03
+4.3850E+01 +2.5406E+01 +1.0291E+00 +6.9508E-01 +2.7890E-01 +3.1755E-02 +1.6160E-02 +2.4380E-03 +1.3006E-03 +2.1795E-03 +1.2504E-03
+4.3880E+01 +2.5425E+01 +1.0463E+00 +7.0730E-01 +2.8363E-01 +3.1911E-02 +1.6239E-02 +2.4438E-03 +1.3037E-03 +2.1835E-03 +1.2527E-03
+4.3910E+01 +1.5545E+01 +1.0639E+00 +7.1985E-01 +2.8847E-01 +3.2068E-02 +1.6318E-02 +2.4496E-03 +1.3067E-03 +2.1876E-03 +1.2550E-03
+4.3940E+01 +1.8266E+01 +1.0820E+00 +7.3274E-01 +2.9345E-01 +3.2226E-02 +1.6397E-02 +2.4555E-03 +1.3098E-03 +2.1916E-03 +1.2573E-03
+4.3970E+01 +5.6850E+00 +1.1006E+00 +7.4597E-01 +2.9855E-01 +3.2385E-02 +1.6477E-02 +2.4613E-03 +1.3129E-03 +2.1957E-03 +1.2596E-03
+4.4000E+01 +1.8305E+01 +1.1197E+00 +7.5957E-01 +3.0378E-01 +3.2546E-02 +1.6558E-02 +2.4672E-03 +1.3160E-03 +2.1997E-03 +1.2619E-03
+4.4030E+01 +3.0025E+01 +1.1393E+00 +7.7354E-01 +3.0916E-01 +3.2707E-02 +1.6639E-02 +2.4731E-03 +1.3192E-03 +2.2038E-03 +1.2642E-03
+4.4060E+01 +9.3440E+00 +1.1594E+00 +7.8790E-01 +3.1468E-01 +3.2870E-02 +1.6721E-02 +2.4790E-03 +1.3223E-03 +2.2079E-03 +1.2666E-03
+4.4090E+01 +2.3765E+01 +1.1801E+00 +8.0266E-01 +3.2034E-01 +3.3034E-02 +1.6803E-02 +2.4850E-03 +1.3254E-03 +2.2120E-03 +1.2689E-03
+4.4120E+01 +5.7840E+00 +1.2014E+00 +8.1785E-01 +3.2617E-01 +3.3200E-02 +1.6886E-02 +2.4909E-03 +1.3286E-03 +2.2161E-03 +1.2712E-03
+4.4150E+01 +1.1204E+01 +1.2233E+00 +8.3347E-01 +3.3215E-01 +3.3366E-02 +1.6970E-02 +2.4969E-03 +1.3318E-03 +2.2203E-03 +1.2736E-03
+4.4180E+01 +2.3824E+01 +1.2458E+00 +8.4954E-01 +3.3830E-01 +3.3534E-02 +1.7054E-02 +2.5029E-03 +1.3349E-03 +2.2244E-03 +1.2760E-03
+4.4210E+01 +2.2945E+01 +1.2689E+00 +8.6608E-01 +3.4462E-01 +3.3703E-02 +1.7139E-02 +2.5090E-03 +1.3381E-03 +2.2286E-03 +1.2783E-03
+4.4240E+01 +2.0264E+01 +1.2927E+00 +8.8310E-01 +3.5112E-01 +3.3873E-02 +1.7224E-02 +2.5150E-03 +1.3413E-03 +2.2327E-03 +1.2807E-03
+4.4270E+01 +1.5784E+01 +1.3172E+00 +9.0064E-01 +3.5780E-01 +3.4045E-02 +1.7310E-02 +2.5211E-03 +1.3446E-03 +2.2369E-03 +1.2831E-03
+4.4300E+01 +1.8505E+01 +1.3424E+00 +9.1870E-01 +3.6468E-01 +3.4218E-02 +1.7397E-02 +2.5272E-03 +1.3478E-03 +2.2411E-03 +1.2855E-03
+4.4330E+01 +2.4824E+01 +1.3684E+00 +9.3731E-01 +3.7176E-01 +3.4392E-02 +1.7485E-02 +2.5333E-03 +1.3510E-03 +2.2453E-03 +1.2878E-03
+4.4360E+01 +1.2243E+01 +1.3951E+00 +9.5649E-01 +3.7904E-01 +3.4568E-02 +1.7573E-02 +2.5394E-03 +1.3543E-03 +2.2495E-03 +1.2902E-03
+4.4390E+01 +1.9463E+01 +1.4227E+00 +9.7627E-01 +3.8654E-01 +3.4745E-02 +1.7661E-02 +2.5456E-03 +1.3575E-03 +2.2537E-03 +1.2926E-03
+4.4420E+01 +2.0382E+01 +1.4511E+00 +9.9667E-01 +3.9427E-01 +3.4923E-02 +1.7751E-02 +2.5518E-03 +1.3608E-03 +2.2579E-03 +1.2951E-03
+4.4450E+01 +1.5004E+01 +1.4804E+00 +1.0177E+00 +4.0223E-01 +3.5103E-02 +1.7841E-02 +2.5580E-03 +1.3641E-03 +2.2622E-03 +1.2975E-03
+4.4480E+01 +1.5923E+01 +1.5106E+00 +1.0394E+00 +4.1044E-01 +3.5284E-02 +1.7932E-02 +2.5642E-03 +1.3674E-03 +2.2664E-03 +1.2999E-03
+4.4510E+01 +1.6843E+01 +1.5417E+00 +1.0618E+00 +4.1890E-01 +3.5466E-02 +1.8023E-02 +2.5705E-03 +1.3707E-03 +2.2707E-03 +1.3023E-03
+4.4540E+01 +1.8662E+01 +1.5739E+00 +1.0850E+00 +4.2762E-01 +3.5650E-02 +1.8116E-02 +2.5768E-03 +1.3740E-03 +2.2750E-03 +1.3048E-03
+4.4570E+01 +1.6883E+01 +1.6071E+00 +1.1089E+00 +4.3662E-01 +3.5836E-02 +1.8208E-02 +2.5831E-03 +1.3773E-03 +2.2793E-03 +1.3072E-03
+4.4600E+01 +2.9502E+01 +1.6414E+00 +1.1336E+00 +4.4590E-01 +3.6022E-02 +1.8302E-02 +2.5894E-03 +1.3807E-03 +2.2836E-03 +1.3097E-03
+4.4630E+01 +2.4122E+01 +1.6768E+00 +1.1592E+00 +4.5548E-01 +3.6211E-02 +1.8396E-02 +2.5957E-03 +1.3840E-03 +2.2879E-03 +1.3121E-03
+4.4660E+01 +2.0543E+01 +1.7135E+00 +1.1856E+00 +4.6538E-01 +3.6400E-02 +1.8492E-02 +2.6021E-03 +1.3874E-03 +2.2922E-03 +1.3146E-03
+4.4690E+01 +1.4262E+01 +1.7513E+00 +1.2129E+00 +4.7560E-01 +3.6592E-02 +1.8587E-02 +2.6085E-03 +1.3908E-03 +2.2966E-03 +1.3171E-03
+4.4720E+01 +1.1582E+01 +1.7905E+00 +1.2412E+00 +4.8617E-01 +3.6784E-02 +1.8684E-02 +2.6149E-03 +1.3942E-03 +2.3009E-03 +1.3195E-03
+4.4750E+01 +5.3010E+00 +1.8310E+00 +1.2705E+00 +4.9709E-01 +3.6979E-02 +1.8781E-02 +2.6213E-03 +1.3976E-03 +2.3053E-03 +1.3220E-03
+4.4780E+01 +2.7821E+01 +1.8730E+00 +1.3009E+00 +5.0838E-01 +3.7174E-02 +1.8879E-02 +2.6278E-03 +1.4010E-03 +2.3097E-03 +1.3245E-03
+4.4810E+01 +2.9642E+01 +1.9164E+00 +1.3323E+00 +5.2006E-01 +3.7372E-02 +1.8978E-02 +2.6343E-03 +1.4044E-03 +2.3141E-03 +1.3270E-03
+4.4840E+01 +1.8862E+01 +1.9614E+00 +1.3649E+00 +5.3214E-01 +3.7571E-02 +1.9078E-02 +2.6408E-03 +1.4079E-03 +2.3185E-03 +1.3295E-03
+4.4870E+01 +1.6181E+01 +2.0081E+00 +1.3987E+00 +5.4466E-01 +3.7771E-02 +1.9178E-02 +2.6473E-03 +1.4113E-03 +2.3229E-03 +1.3321E-03
+4.4900E+01 +8.1020E+00 +2.0564E+00 +1.4338E+00 +5.5762E-01 +3.7973E-02 +1.9280E-02 +2.6539E-03 +1.4148E-03 +2.3273E-03 +1.3346E-03
+4.4930E+01 +1.1721E+01 +2.1066E+00 +1.4703E+00 +5.7105E-01 +3.8177E-02 +1.9382E-02 +2.6605E-03 +1.4183E-03 +2.3318E-03 +1.3371E-03
+4.4960E+01 +1.8941E+01 +2.1587E+00 +1.5081E+00 +5.8497E-01 +3.8383E-02 +1.9484E-02 +2.6671E-03 +1.4218E-03 +2.3362E-03 +1.3396E-03
+4.4990E+01 +2.0761E+01 +2.2128E+00 +1.5474E+00 +5.9940E-01 +3.8590E-02 +1.9588E-02 +2.6737E-03 +1.4253E-03 +2.3407E-03 +1.3422E-03
+4.5020E+01 +1.0880E+01 +2.2689E+00 +1.5883E+00 +6.1437E-01 +3.8798E-02 +1.9693E-02 +2.6804E-03 +1.4288E-03 +2.3452E-03 +1.3447E-03
+4.5050E+01 +1.7201E+01 +2.3273E+00 +1.6308E+00 +6.2992E-01 +3.9009E-02 +1.9798E-02 +2.6871E-03 +1.4323E-03 +2.3497E-03 +1.3473E-03
+4.5080E+01 +1.1820E+01 +2.3880E+00 +1.6750E+00 +6.4606E-01 +3.9221E-02 +1.9904E-02 +2.6938E-03 +1.4359E-03 +2.3542E-03 +1.3499E-03
+4.5110E+01 +1.2740E+01 +2.4512E+00 +1.7211E+00 +6.6283E-01 +3.9435E-02 +2.0011E-02 +2.7005E-03 +1.4394E-03 +2.3587E-03 +1.3524E-03
+4.5140E+01 +1.0961E+01 +2.5169E+00 +1.7690E+00 +6.8026E-01 +3.9651E-02 +2.0119E-02 +2.7073E-03 +1.4430E-03 +2.3632E-03 +1.3550E-03
+4.5170E+01 +1.7280E+01 +2.5854E+00 +1.8191E+00 +6.9839E-01 +3.9868E-02 +2.0228E-02 +2.7140E-03 +1.4466E-03 +2.3678E-03 +1.3576E-03
+4.5200E+01 +1.0100E+01 +2.6568E+00 +1.8712E+00 +7.1725E-01 +4.0087E-02 +2.0338E-02 +2.7209E-03 +1.4502E-03 +2.3723E-03 +1.3602E-03
+4.5230E+01 +2.3632E+01 +2.7312E+00 +1.9257E+00 +7.3688E-01 +4.0308E-02 +2.0448E-02 +2.7277E-03 +1.4538E-03 +2.3769E-03 +1.3628E-03
+4.5260E+01 +1.4665E+01 +2.8089E+00 +1.9825E+00 +7.5734E-01 +4.0531E-02 +2.0560E-02 +2.7345E-03 +1.4574E-03 +2.3815E-03 +1.3654E-03
+4.5290E+01 +2.1898E+01 +2.8900E+00 +2.0419E+00 +7.7865E-01 +4.0756E-02 +2.0672E-02 +2.7414E-03 +1.4610E-03 +2.3861E-03 +1.3680E-03
+4.5320E+01 +3.2729E+01 +2.9747E+00 +2.1041E+00 +8.0088E-01 +4.0983E-02 +2.0785E-02 +2.7483E-03 +1.4647E-03 +2.3907E-03 +1.3707E-03
+4.5350E+01 +5.7610E+00 +3.0632E+00 +2.1691E+00 +8.2408E-01 +4.1211E-02 +2.0899E-02 +2.7553E-03 +1.4684E-03 +2.3953E-03 +1.3733E-03
+4.5380E+01 +8.4930E+00 +3.1559E+00 +2.2371E+00 +8.4830E-01 +4.1441E-02 +2.1015E-02 +2.7622E-03 +1.4720E-03 +2.4000E-03 +1.3759E-03
+4.5410E+01 +2.1125E+01 +3.2529E+00 +2.3084E+00 +8.7360E-01 +4.1674E-02 +2.1131E-02 +2.7692E-03 +1.4757E-03 +2.4046E-03 +1.3786E-03
+4.5440E+01 +7.6580E+00 +3.3545E+00 +2.3832E+00 +9.0005E-01 +4.1908E-02 +2.1248E-02 +2.7763E-03 +1.4794E-03 +2.4093E-03 +1.3812E-03
+4.5470E+01 +1.6690E+01 +3.4610E+00 +2.4617E+00 +9.2772E-01 +4.2144E-02 +2.1366E-02 +2.7833E-03 +1.4832E-03 +2.4140E-03 +1.3839E-03
+4.5500E+01 +1.0422E+01 +3.5727E+00 +2.5441E+00 +9.5668E-01 +4.2383E-02 +2.1485E-02 +2.7904E-03 +1.4869E-03 +2.4187E-03 +1.3866E-03
+4.5530E+01 +1.9454E+01 +3.6901E+00 +2.6307E+00 +9.8703E-01 +4.2623E-02 +2.1605E-02 +2.7975E-03 +1.4907E-03 +2.4234E-03 +1.3892E-03
+4.5560E+01 +2.4887E+01 +3.8134E+00 +2.7218E+00 +1.0188E+00 +4.2865E-02 +2.1726E-02 +2.8046E-03 +1.4944E-03 +2.4281E-03 +1.3919E-03
+4.5590E+01 +8.7190E+00 +3.9431E+00 +2.8178E+00 +1.0522E+00 +4.3110E-02 +2.1848E-02 +2.8118E-03 +1.4982E-03 +2.4328E-03 +1.3946E-03
+4.5620E+01 +3.3051E+01 +4.0796E+00 +2.9189E+00 +1.0873E+00 +4.3356E-02 +2.1971E-02 +2.8189E-03 +1.5020E-03 +2.4376E-03 +1.3973E-03
+4.5650E+01 +2.9483E+01 +4.2235E+00 +3.0255E+00 +1.1241E+00 +4.3605E-02 +2.2096E-02 +2.8261E-03 +1.5058E-03 +2.4423E-03 +1.4000E-03
+4.5680E+01 +1.7816E+01 +4.3752E+00 +3.1381E+00 +1.1628E+00 +4.3856E-02 +2.2221E-02 +2.8334E-03 +1.5096E-03 +2.4471E-03 +1.4028E-03
+4.5710E+01 +2.4148E+01 +4.5353E+00 +3.2571E+00 +1.2035E+00 +4.4109E-02 +2.2347E-02 +2.8406E-03 +1.5135E-03 +2.4519E-03 +1.4055E-03
+4.5740E+01 +2.2381E+01 +4.7046E+00 +3.3830E+00 +1.2465E+00 +4.4364E-02 +2.2474E-02 +2.8479E-03 +1.5173E-03 +2.4567E-03 +1.4082E-03
+4.5770E+01 +2.5112E+01 +4.8836E+00 +3.5163E+00 +1.2918E+00 +4.4622E-02 +2.2603E-02 +2.8553E-03 +1.5212E-03 +2.4615E-03 +1.4110E-03
+4.5800E+01 +2.8743E+01 +5.0731E+00 +3.6577E+00 +1.3396E+00 +4.4881E-02 +2.2732E-02 +2.8626E-03 +1.5251E-03 +2.4664E-03 +1.4137E-03
+4.5830E+01 +2.1577E+01 +5.2741E+00 +3.8078E+00 +1.3900E+00 +4.5143E-02 +2.2863E-02 +2.8700E-03 +1.5289E-03 +2.4712E-03 +1.4165E-03
+4.5860E+01 +4.0510E+01 +5.4874E+00 +3.9673E+00 +1.4434E+00 +4.5407E-02 +2.2995E-02 +2.8774E-03 +1.5329E-03 +2.4761E-03 +1.4192E-03
+4.5890E+01 +2.8841E+01 +5.7141E+00 +4.1370E+00 +1.5000E+00 +4.5674E-02 +2.3128E-02 +2.8848E-03 +1.5368E-03 +2.4810E-03 +1.4220E-03
+4.5920E+01 +2.5273E+01 +5.9553E+00 +4.3179E+00 +1.5599E+00 +4.5943E-02 +2.3262E-02 +2.8923E-03 +1.5407E-03 +2.4858E-03 +1.4248E-03
+4.5950E+01 +3.4305E+01 +6.2123E+00 +4.5108E+00 +1.6235E+00 +4.6214E-02 +2.3397E-02 +2.8998E-03 +1.5447E-03 +2.4908E-03 +1.4276E-03
+4.5980E+01 +3.0737E+01 +6.4865E+00 +4.7170E+00 +1.6910E+00 +4.6488E-02 +2.3534E-02 +2.9073E-03 +1.5487E-03 +2.4957E-03 +1.4304E-03
+4.6010E+01 +3.3470E+01 +6.7794E+00 +4.9377E+00 +1.7629E+00 +4.6764E-02 +2.3671E-02 +2.9148E-03 +1.5526E-03 +2.5006E-03 +1.4332E-03
+4.6040E+01 +2.9903E+01 +7.0929E+00 +5.1742E+00 +1.8394E+00 +4.7043E-02 +2.3810E-02 +2.9224E-03 +1.5566E-03 +2.5056E-03 +1.4360E-03
+4.6070E+01 +3.0834E+01 +7.4289E+00 +5.4281E+00 +1.9211E+00 +4.7324E-02 +2.3950E-02 +2.9300E-03 +1.5607E-03 +2.5105E-03 +1.4388E-03
+4.6100E+01 +2.7266E+01 +7.7896E+00 +5.7012E+00 +2.0083E+00 +4.7607E-02 +2.4092E-02 +2.9377E-03 +1.5647E-03 +2.5155E-03 +1.4417E-03
+4.6130E+01 +8.3990E+00 +8.1776E+00 +5.9954E+00 +2.1015E+00 +4.7893E-02 +2.4234E-02 +2.9453E-03 +1.5687E-03 +2.5205E-03 +1.4445E-03
+4.6160E+01 +2.1030E+01 +8.5955E+00 +6.3130E+00 +2.2014E+00 +4.8182E-02 +2.4378E-02 +2.9530E-03 +1.5728E-03 +2.5255E-03 +1.4473E-03
+4.6190E+01 +2.7364E+01 +9.0466E+00 +6.6565E+00 +2.3086E+00 +4.8474E-02 +2.4523E-02 +2.9608E-03 +1.5769E-03 +2.5305E-03 +1.4502E-03
+4.6220E+01 +3.3695E+01 +9.5346E+00 +7.0288E+00 +2.4238E+00 +4.8768E-02 +2.4670E-02 +2.9685E-03 +1.5810E-03 +2.5356E-03 +1.4531E-03
+4.6250E+01 +2.4728E+01 +1.0064E+01 +7.4332E+00 +2.5479E+00 +4.9064E-02 +2.4818E-02 +2.9763E-03 +1.5851E-03 +2.5406E-03 +1.4559E-03
+4.6280E+01 +4.0060E+01 +1.0638E+01 +7.8735E+00 +2.6818E+00 +4.9364E-02 +2.4967E-02 +2.9841E-03 +1.5892E-03 +2.5457E-03 +1.4588E-03
+4.6310E+01 +4.0993E+01 +1.1264E+01 +8.3542E+00 +2.8264E+00 +4.9666E-02 +2.5117E-02 +2.9920E-03 +1.5934E-03 +2.5508E-03 +1.4617E-03
+4.6340E+01 +4.2824E+01 +1.1947E+01 +8.8801E+00 +2.9831E+00 +4.9971E-02 +2.5269E-02 +2.9999E-03 +1.5975E-03 +2.5559E-03 +1.4646E-03
+4.6370E+01 +5.6356E+01 +1.2695E+01 +9.4574E+00 +3.1532E+00 +5.0279E-02 +2.5422E-02 +3.0078E-03 +1.6017E-03 +2.5610E-03 +1.4675E-03
+4.6400E+01 +3.3888E+01 +1.3516E+01 +1.0093E+01 +3.3383E+00 +5.0589E-02 +2.5577E-02 +3.0157E-03 +1.6059E-03 +2.5661E-03 +1.4704E-03
+4.6430E+01 +3.3922E+01 +1.4420E+01 +1.0794E+01 +3.5401E+00 +5.0903E-02 +2.5733E-02 +3.0237E-03 +1.6101E-03 +2.5712E-03 +1.4734E-03
+4.6460E+01 +6.0953E+01 +1.5418E+01 +1.1572E+01 +3.7608E+00 +5.1219E-02 +2.5890E-02 +3.0317E-03 +1.6143E-03 +2.5764E-03 +1.4763E-03
+4.6490E+01 +4.1186E+01 +1.6525E+01 +1.2436E+01 +4.0028E+00 +5.1539E-02 +2.6049E-02 +3.0397E-03 +1.6186E-03 +2.5816E-03 +1.4793E-03
+4.6520E+01 +4.1218E+01 +1.7757E+01 +1.3401E+01 +4.2689E+00 +5.1861E-02 +2.6209E-02 +3.0478E-03 +1.6228E-03 +2.5868E-03 +1.4822E-03
+4.6550E+01 +4.1249E+01 +1.9132E+01 +1.4482E+01 +4.5624E+00 +5.2187E-02 +2.6371E-02 +3.0559E-03 +1.6271E-03 +2.5920E-03 +1.4852E-03
+4.6580E+01 +4.3082E+01 +2.0675E+01 +1.5700E+01 +4.8873E+00 +5.2515E-02 +2.6534E-02 +3.0641E-03 +1.6314E-03 +2.5972E-03 +1.4881E-03
+4.6610E+01 +4.5815E+01 +2.2415E+01 +1.7078E+01 +5.2482E+00 +5.2847E-02 +2.6699E-02 +3.0722E-03 +1.6357E-03 +2.6024E-03 +1.4911E-03
+4.6640E+01 +4.8547E+01 +2.4385E+01 +1.8646E+01 +5.6504E+00 +5.3182E-02 +2.6866E-02 +3.0804E-03 +1.6400E-03 +2.6077E-03 +1.4941E-03
+4.6670E+01 +4.4978E+01 +2.6630E+01 +2.0439E+01 +6.1008E+00 +5.3520E-02 +2.7034E-02 +3.0887E-03 +1.6444E-03 +2.6130E-03 +1.4971E-03
+4.6700E+01 +4.7711E+01 +2.9201E+01 +2.2504E+01 +6.6072E+00 +5.3861E-02 +2.7203E-02 +3.0969E-03 +1.6487E-03 +2.6183E-03 +1.5001E-03
+4.6730E+01 +5.7642E+01 +3.2168E+01 +2.4898E+01 +7.1792E+00 +5.4205E-02 +2.7374E-02 +3.1052E-03 +1.6531E-03 +2.6236E-03 +1.5031E-03
+4.6760E+01 +7.6576E+01 +3.5615E+01 +2.7695E+01 +7.8289E+00 +5.4553E-02 +2.7547E-02 +3.1136E-03 +1.6575E-03 +2.6289E-03 +1.5061E-03
+4.6790E+01 +6.7608E+01 +3.9652E+01 +3.0989E+01 +8.5708E+00 +5.4904E-02 +2.7722E-02 +3.1219E-03 +1.6619E-03 +2.6342E-03 +1.5092E-03
+4.6820E+01 +7.6640E+01 +4.4423E+01 +3.4908E+01 +9.4233E+00 +5.5259E-02 +2.7898E-02 +3.1303E-03 +1.6664E-03 +2.6396E-03 +1.5122E-03
+4.6850E+01 +6.8572E+01 +5.0119E+01 +3.9617E+01 +1.0409E+01 +5.5617E-02 +2.8075E-02 +3.1388E-03 +1.6708E-03 +2.6449E-03 +1.5153E-03
+4.6880E+01 +8.5704E+01 +5.6997E+01 +4.5345E+01 +1.1559E+01 +5.5978E-02 +2.8255E-02 +3.1472E-03 +1.6753E-03 +2.6503E-03 +1.5183E-03
+4.6910E+01 +8.2136E+01 +6.5411E+01 +5.2408E+01 +1.2909E+01 +5.6343E-02 +2.8436E-02 +3.1557E-03 +1.6798E-03 +2.6557E-03 +1.5214E-03
+4.6940E+01 +8.1269E+01 +7.5856E+01 +6.1252E+01 +1.4510E+01 +5.6712E-02 +2.8619E-02 +3.1643E-03 +1.6843E-03 +2.6611E-03 +1.5245E-03
+4.6970E+01 +1.2000E+02 +8.9052E+01 +7.2529E+01 +1.6428E+01 +5.7084E-02 +2.8804E-02 +3.1729E-03 +1.6888E-03 +2.6666E-03 +1.5276E-03
+4.7000E+01 +1.1823E+02 +1.0606E+02 +8.7215E+01 +1.8751E+01 +5.7460E-02 +2.8990E-02 +3.1815E-03 +1.6933E-03 +2.6720E-03 +1.5307E-03
+4.7030E+01 +1.9837E+02 +1.2853E+02 +1.0683E+02 +2.1604E+01 +5.7840E-02 +2.9178E-02 +3.1901E-03 +1.6979E-03 +2.6775E-03 +1.5338E-03
+4.7060E+01 +2.5690E+02 +1.5907E+02 +1.3382E+02 +2.5159E+01 +5.8223E-02 +2.9369E-02 +3.1988E-03 +1.7025E-03 +2.6830E-03 +1.5369E-03
+4.7090E+01 +3.2083E+02 +2.0213E+02 +1.7237E+02 +2.9666E+01 +5.8610E-02 +2.9561E-02 +3.2075E-03 +1.7071E-03 +2.6885E-03 +1.5400E-03
+4.7120E+01 +3.2266E+02 +2.6564E+02 +2.3005E+02 +3.5496E+01 +5.9002E-02 +2.9754E-02 +3.2162E-03 +1.7117E-03 +2.6940E-03 +1.5432E-03
+4.7150E+01 +3.9739E+02 +3.6496E+02 +3.2164E+02 +4.3220E+01 +5.9397E-02 +2.9950E-02 +3.2250E-03 +1.7163E-03 +2.6995E-03 +1.5463E-03
+4.7180E+01 +5.6663E+02 +5.3279E+02 +4.7894E+02 +5.3751E+01 +5.9796E-02 +3.0148E-02 +3.2339E-03 +1.7210E-03 +2.7051E-03 +1.5495E-03
+4.7210E+01 +7.5926E+02 +8.4780E+02 +7.7908E+02 +6.8618E+01 +6.0199E-02 +3.0348E-02 +3.2427E-03 +1.7256E-03 +2.7106E-03 +1.5526E-03
+4.7240E+01 +1.3947E+03 +1.5275E+03 +1.4369E+03 +9.0545E+01 +6.0606E-02 +3.0549E-02 +3.2516E-03 +1.7303E-03 +2.7162E-03 +1.5558E-03
+4.7270E+01 +3.3216E+03 +3.2011E+03 +3.0763E+03 +1.2474E+02 +6.1017E-02 +3.0753E-02 +3.2605E-03 +1.7350E-03 +2.7218E-03 +1.5590E-03
+4.7300E+01 +6.0208E+03 +6.0322E+03 +5.8500E+03 +1.8210E+02 +6.1433E-02 +3.0959E-02 +3.2695E-03 +1.7398E-03 +2.7274E-03 +1.5622E-03
+4.7330E+01 +4.7428E+03 +4.5699E+03 +4.2814E+03 +2.8837E+02 +6.1852E-02 +3.1167E-02 +3.2785E-03 +1.7445E-03 +2.7331E-03 +1.5654E-03
+4.7360E+01 +2.1976E+03 +2.4635E+03 +1.9495E+03 +5.1388E+02 +6.2277E-02 +3.1377E-02 +3.2875E-03 +1.7493E-03 +2.7387E-03 +1.5686E-03
+4.7390E+01 +2.0933E+03 +2.0710E+03 +9.9102E+02 +1.0799E+03 +6.2705E-02 +3.1589E-02 +3.2966E-03 +1.7541E-03 +2.7444E-03 +1.5718E-03
+4.7420E+01 +2.9654E+03 +3.0327E+03 +5.8074E+02 +2.4519E+03 +6.3138E-02 +3.1803E-02 +3.3057E-03 +1.7589E-03 +2.7501E-03 +1.5750E-03
+4.7450E+01 +2.9195E+03 +2.9312E+03 +3.7714E+02 +2.5540E+03 +6.3575E-02 +3.2019E-02 +3.3149E-03 +1.7637E-03 +2.7558E-03 +1.5783E-03
+4.7480E+01 +1.3004E+03 +1.4036E+03 +2.6330E+02 +1.1401E+03 +6.4017E-02 +3.2238E-02 +3.3241E-03 +1.7685E-03 +2.7615E-03 +1.5815E-03
+4.7510E+01 +6.1198E+02 +7.3022E+02 +1.9376E+02 +5.3635E+02 +6.4464E-02 +3.2459E-02 +3.3333E-03 +1.7734E-03 +2.7673E-03 +1.5848E-03
+4.7540E+01 +4.5811E+02 +4.4664E+02 +1.4835E+02 +2.9818E+02 +6.4915E-02 +3.2682E-02 +3.3426E-03 +1.7783E-03 +2.7730E-03 +1.5881E-03
+4.7570E+01 +3.1414E+02 +3.0434E+02 +1.1713E+02 +1.8710E+02 +6.5371E-02 +3.2908E-02 +3.3519E-03 +1.7832E-03 +2.7788E-03 +1.5914E-03
+4.7600E+01 +2.4038E+02 +2.2248E+02 +9.4778E+01 +1.2759E+02 +6.5832E-02 +3.3135E-02 +3.3612E-03 +1.7881E-03 +2.7846E-03 +1.5947E-03
+4.7630E+01 +2.0351E+02 +1.7067E+02 +7.8241E+01 +9.2316E+01 +6.6298E-02 +3.3366E-02 +3.3706E-03 +1.7931E-03 +2.7904E-03 +1.5980E-03
+4.7660E+01 +1.6844E+02 +1.3557E+02 +6.5669E+01 +6.9789E+01 +6.6768E-02 +3.3598E-02 +3.3801E-03 +1.7980E-03 +2.7962E-03 +1.6013E-03
+4.7690E+01 +1.3967E+02 +1.1057E+02 +5.5892E+01 +5.4563E+01 +6.7244E-02 +3.3833E-02 +3.3895E-03 +1.8030E-03 +2.8021E-03 +1.6046E-03
+4.7720E+01 +9.9206E+01 +9.2060E+01 +4.8142E+01 +4.3807E+01 +6.7725E-02 +3.4071E-02 +3.3990E-03 +1.8080E-03 +2.8080E-03 +1.6079E-03
+4.7750E+01 +9.4739E+01 +7.7940E+01 +4.1895E+01 +3.5933E+01 +6.8211E-02 +3.4311E-02 +3.4086E-03 +1.8131E-03 +2.8139E-03 +1.6113E-03
+4.7780E+01 +7.1371E+01 +6.6901E+01 +3.6788E+01 +3.0000E+01 +6.8702E-02 +3.4553E-02 +3.4182E-03 +1.8181E-03 +2.8198E-03 +1.6146E-03
+4.7810E+01 +6.2404E+01 +5.8092E+01 +3.2559E+01 +2.5420E+01 +6.9199E-02 +3.4798E-02 +3.4278E-03 +1.8232E-03 +2.8257E-03 +1.6180E-03
+4.7840E+01 +6.0635E+01 +5.0945E+01 +2.9018E+01 +2.1812E+01 +6.9701E-02 +3.5046E-02 +3.4375E-03 +1.8283E-03 +2.8316E-03 +1.6214E-03
+4.7870E+01 +6.8767E+01 +4.5059E+01 +2.6025E+01 +1.8919E+01 +7.0208E-02 +3.5297E-02 +3.4472E-03 +1.8334E-03 +2.8376E-03 +1.6248E-03
+4.7900E+01 +7.6899E+01 +4.0152E+01 +2.3471E+01 +1.6565E+01 +7.0721E-02 +3.5550E-02 +3.4569E-03 +1.8385E-03 +2.8436E-03 +1.6282E-03
