# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.0880E+01 +2.6138E+01 +3.2152E-01 +2.0108E-01 +8.3449E-02 +2.0588E-02 +1.0529E-02 +1.9523E-03 +1.0433E-03 +1.8300E-03 +1.0511E-03
+4.0910E+01 +2.3458E+01 +3.2432E-01 +2.0297E-01 +8.4218E-02 +2.0669E-02 +1.0570E-02 +1.9565E-03 +1.0455E-03 +1.8331E-03 +1.0528E-03
+4.0940E+01 +2.7770E+00 +3.2715E-01 +2.0489E-01 +8.4998E-02 +2.0751E-02 +1.0611E-02 +1.9607E-03 +1.0477E-03 +1.8362E-03 +1.0546E-03
+4.0970E+01 +1.2698E+01 +3.3002E-01 +2.0683E-01 +8.5788E-02 +2.0833E-02 +1.0653E-02 +1.9648E-03 +1.0499E-03 +1.8393E-03 +1.0564E-03
+4.1000E+01 +1.9017E+01 +3.3293E-01 +2.0881E-01 +8.6590E-02 +2.0916E-02 +1.0695E-02 +1.9690E-03 +1.0521E-03 +1.8424E-03 +1.0582E-03
+4.1030E+01 +2.8370E+00 +3.3588E-01 +2.1081E-01 +8.7403E-02 +2.0999E-02 +1.0737E-02 +1.9732E-03 +1.0544E-03 +1.8456E-03 +1.0600E-03
+4.1060E+01 +1.8158E+01 +3.3887E-01 +2.1284E-01 +8.8227E-02 +2.1083E-02 +1.0779E-02 +1.9775E-03 +1.0566E-03 +1.8487E-03 +1.0618E-03
+4.1090E+01 +1.8178E+01 +3.4191E-01 +2.1490E-01 +8.9063E-02 +2.1167E-02 +1.0822E-02 +1.9817E-03 +1.0588E-03 +1.8519E-03 +1.0635E-03
+4.1120E+01 +2.6297E+01 +3.4498E-01 +2.1699E-01 +8.9911E-02 +2.1252E-02 +1.0865E-02 +1.9859E-03 +1.0611E-03 +1.8550E-03 +1.0653E-03
+4.1150E+01 +1.8216E+01 +3.4810E-01 +2.1911E-01 +9.0772E-02 +2.1337E-02 +1.0908E-02 +1.9902E-03 +1.0633E-03 +1.8582E-03 +1.0672E-03
+4.1180E+01 +1.1936E+01 +3.5127E-01 +2.2126E-01 +9.1644E-02 +2.1423E-02 +1.0951E-02 +1.9945E-03 +1.0656E-03 +1.8613E-03 +1.0690E-03
+4.1210E+01 +1.9157E+01 +3.5448E-01 +2.2344E-01 +9.2529E-02 +2.1509E-02 +1.0995E-02 +1.9988E-03 +1.0679E-03 +1.8645E-03 +1.0708E-03
+4.1240E+01 +8.3770E+00 +3.5773E-01 +2.2566E-01 +9.3428E-02 +2.1596E-02 +1.1039E-02 +2.0031E-03 +1.0702E-03 +1.8677E-03 +1.0726E-03
+4.1270E+01 +1.6496E+01 +3.6103E-01 +2.2790E-01 +9.4339E-02 +2.1683E-02 +1.1083E-02 +2.0074E-03 +1.0725E-03 +1.8709E-03 +1.0744E-03
+4.1300E+01 +2.1016E+01 +3.6438E-01 +2.3019E-01 +9.5264E-02 +2.1771E-02 +1.1127E-02 +2.0117E-03 +1.0748E-03 +1.8741E-03 +1.0762E-03
+4.1330E+01 +5.7370E+00 +3.6778E-01 +2.3250E-01 +9.6202E-02 +2.1860E-02 +1.1172E-02 +2.0161E-03 +1.0771E-03 +1.8773E-03 +1.0781E-03
+4.1360E+01 +2.5556E+01 +3.7123E-01 +2.3485E-01 +9.7154E-02 +2.1948E-02 +1.1217E-02 +2.0204E-03 +1.0794E-03 +1.8805E-03 +1.0799E-03
+4.1390E+01 +2.5576E+01 +3.7474E-01 +2.3724E-01 +9.8121E-02 +2.2038E-02 +1.1262E-02 +2.0248E-03 +1.0817E-03 +1.8838E-03 +1.0817E-03
+4.1420E+01 +3.9560E-01 +3.7829E-01 +2.3967E-01 +9.9102E-02 +2.2128E-02 +1.1308E-02 +2.0292E-03 +1.0840E-03 +1.8870E-03 +1.0836E-03
+4.1450E+01 +1.8416E+01 +3.8189E-01 +2.4213E-01 +1.0010E-01 +2.2218E-02 +1.1354E-02 +2.0336E-03 +1.0864E-03 +1.8902E-03 +1.0854E-03
+4.1480E+01 +2.5636E+01 +3.8555E-01 +2.4463E-01 +1.0111E-01 +2.2310E-02 +1.1400E-02 +2.0380E-03 +1.0887E-03 +1.8935E-03 +1.0873E-03
+4.1510E+01 +2.2955E+01 +3.8927E-01 +2.4717E-01 +1.0213E-01 +2.2401E-02 +1.1446E-02 +2.0424E-03 +1.0910E-03 +1.8967E-03 +1.0892E-03
+4.1540E+01 +1.3975E+01 +3.9304E-01 +2.4974E-01 +1.0318E-01 +2.2494E-02 +1.1493E-02 +2.0469E-03 +1.0934E-03 +1.9000E-03 +1.0910E-03
+4.1570E+01 +2.5695E+01 +3.9687E-01 +2.5236E-01 +1.0423E-01 +2.2586E-02 +1.1540E-02 +2.0513E-03 +1.0958E-03 +1.9033E-03 +1.0929E-03
