# XRD pattern of silicon standard
#
#2theta	Intensity
31.85	113.656
31.88	115.475
31.91	113.695
31.94	123.614
31.97	111.036
32	101.155
32.03	113.775
32.06	109.294
32.09	100.315
32.12	119.234
32.15	112.954
32.18	118.373
32.21	126.494
32.24	122.014
32.27	113.934
32.3	114.853
32.33	113.974
32.36	109.493
32.39	108.613
32.42	115.833
32.45	126.654
32.48	106.873
32.51	119.493
32.54	128.512
32.57	106.033
32.6	115.053
32.63	124.972
32.66	115.091
32.69	101.613
32.72	115.132
32.75	118.752
32.78	125.071
32.81	106.192
32.84	117.911
32.87	124.231
32.9	110.75
32.93	118.871
32.96	124.291
32.99	110.81
33.02	111.73
33.05	115.35
33.08	116.27
33.11	105.49
33.14	119.01
33.17	107.331
33.2	116.35
33.23	119.97
33.26	106.489
33.29	115.51
33.32	120.93
33.35	107.449
33.38	123.668
33.41	104.79
33.44	109.309
33.47	128.228
33.5	116.548
33.53	104.869
33.56	111.189
33.59	115.708
33.62	114.828
33.65	123.849
33.68	109.468
33.71	114.887
33.74	112.207
33.77	109.528
33.8	116.748
33.83	124.867
33.86	105.987
33.89	105.108
33.92	119.527
33.95	118.647
33.98	106.066
34.01	121.387
34.04	125.007
34.07	110.626
34.1	109.745
34.13	115.165
34.16	107.086
34.19	108.006
34.22	118.827
34.25	105.346
34.28	112.565
34.31	127.885
34.34	127.904
34.37	117.125
34.4	124.345
34.43	118.964
34.46	128.884
34.49	114.505
34.52	119.025
34.55	128.944
34.58	106.464
34.61	123.584
34.64	110.104
34.67	120.923
34.7	115.543
34.73	112.864
34.76	107.483
34.79	103.903
34.82	117.422
34.85	108.444
34.88	112.063
34.91	117.483
34.94	121.103
34.97	110.323
35	113.042
35.03	97.7621
35.06	107.681
35.09	116.703
35.12	129.322
35.15	125.742
35.18	111.361
35.21	126.68
35.24	113.202
35.27	116.821
35.3	104.24
35.33	133.061
35.36	107.881
35.39	101.6
35.42	115.12
35.45	113.341
35.48	110.661
35.51	108.88
35.54	110.7
35.57	111.62
35.6	125.14
35.63	106.26
35.66	113.479
35.69	113.5
35.72	116.22
35.75	109.039
35.78	120.758
35.81	118.079
35.84	125.299
35.87	113.618
35.9	101.938
35.93	117.257
35.96	118.178
35.99	103.798
36.02	111.017
36.05	125.439
36.08	126.358
36.11	108.377
36.14	109.297
36.17	113.818
36.2	121.038
36.23	129.157
36.26	107.577
36.29	120.196
36.32	117.517
36.35	111.237
36.38	121.157
36.41	120.277
36.44	111.297
36.47	111.316
36.5	112.236
36.53	100.556
36.56	104.176
36.59	106.895
36.62	112.315
36.65	117.734
36.68	112.356
36.71	105.175
36.74	106.994
36.77	112.416
36.8	113.335
36.83	117.855
36.86	113.374
36.89	116.995
36.92	105.315
36.95	121.534
36.98	118.853
37.01	118.873
37.04	105.394
37.07	113.513
37.1	104.533
37.13	121.654
37.16	107.274
37.19	107.293
37.22	117.212
37.25	127.133
37.28	114.553
37.31	109.172
37.34	116.392
37.37	131.712
37.4	121.833
37.43	103.852
37.46	125.473
37.49	121.892
37.52	121.912
37.55	122.832
37.58	116.551
37.61	123.772
37.64	114.792
37.67	112.111
37.7	119.331
37.73	113.952
37.76	116.671
37.79	122.091
37.82	114.91
37.85	109.531
37.88	108.65
37.91	114.07
37.94	108.69
37.97	112.31
38	118.63
38.03	108.75
38.06	112.369
38.09	123.189
38.12	118.709
38.15	116.929
38.18	119.65
38.21	114.269
38.24	115.189
38.27	112.508
38.3	110.728
38.33	117.949
38.36	106.269
38.39	109.888
38.42	127.907
38.45	118.027
38.48	113.548
38.51	109.067
38.54	99.1876
